tool_name,PMID,URL,biotoolsID
MDSuite,36774469,https://github.com/zincware/MDSuite,,
XeroGraph,40061871,https://github.com/kazilab/XeroGraph,,
qgg,37882742,https://github.com/psoerensen/qgg/,,
distAngsd,35647675,https://github.com/lz398/distAngsd,,
TransExION,38807166,https://github.com/banhdzui/TransExION,,
HAYSTAC,36178955,https://github.com/antonisdim/HAYSTAC,,
BiomiX,39794699,https://github.com/IxI-97/BiomiX,,
WISH-R,33733355,https://github.com/QSG-Group/WISH,,
qdiv,32917275,https://github.com/omvatten/qdiv,,
MiFoDB,40827925,https://github.com/elisacaffrey/MiFoDB,,
NeuroDevSim,37547492,https://github.com/CNS-OIST/NeuroDevSim,,
EARS,41262171,https://github.com/gustavstalhammar-ui/EARS,,
Adera2.0,36234990,https://github.com/michel-phylo/ADERA2.0,,
COBY,40354253,https://github.com/MikkelDA/COBY,,
BLAMM,32164557,https://github.com/biointec/blamm,,
parallelproj,39355030,https://github.com/gschramm/parallelproj,,
SMARTER-database,39473492,https://github.com/cnr-ibba/SMARTER-database,,
SpecieScan,38337062,https://github.com/mesve/SpecieScan,,
CPSign,38943219,https://github.com/arosbio/cpsign,,
GOUHFI,41158555,https://github.com/mafortin/GOUHFI,,
Deuteros 2.0,32722756,https://github.com/andymlau/Deuteros_2.0,,
CONCOMPRA,39679438,https://github.com/willem-stock/CONCOMPRA,,
CANVAR,39382066,https://github.com/kraesing/CANVAR,,
osl-dynamics,38285016,https://github.com/OHBA-analysis/osl,,
LocalNgsRelate,34718411,https://github.com/idamoltke/LocalNgsRelate,,
REINVENT 4,38383444,https://github.com/MolecularAI/REINVENT4,,
webFlaGs,32956448,https://github.com/GCA-VH-lab/FlaGs,,
MutateX,35323860,https://github.com/ELELAB/mutatex,,
PatientMatcher,35192731,https://github.com/Clinical-Genomics/patientMatcher,,
CyCadas,39374546,https://github.com/DII-LIH-Luxembourg/cycadas,,
ARGprofiler,38377397,https://github.com/genomicepidemiology/ARGprofiler,,
blik,38687779,https://github.com/brisvag/blik,,
ONT-AmpSeq,39109544,https://github.com/MathiasEskildsen/ONT-AmpSeq,,
PhyloES,37889263,https://github.com/andygaspar/PHYLOES,,
PhaLP,34206969,https://github.com/bjcriel/PhaLP,,
COSS,35446579,https://github.com/compomics/COSS,,
DTU-DADS-Aqua,34152091,https://github.com/upei-aqua/DTU-DADS-Aqua,,
voomCLR,41275420,https://github.com/johnsonandjohnson/voomCLR,,
UCEasy,34934383,https://github.com/uceasy/uceasy,,
ScreenDB,36802528,https://github.com/ucph-rka/ScreenDB,,
SBMLtoOdin,40892010,https://github.com/bacpop/SBMLtoOdin,,
MASSef,38711578,http://github.com/opencobra/massef,,
pypgatk,34904638,https://github.com/bigbio/py-pgatk/,,
proChIPdb,34791440,https://github.com/SBRG/ChIPdb,,
gACSON,35436661,https://github.com/AndreaBehan/g-ACSON,,
PepGM,37129543,https://github.com/BAMeScience/PepGM,,
pycabnn,32733226,https://github.com/CNS-oist/pycabnn,,
SNPeffect,37464277,https://github.com/vibbits/snpeffect,,
CBMOS,35100968,https://github.com/somathias/cbmos,,
SQUiD,39696687,https://github.com/G2Lab/SQUiD/,,
NGSpeciesID,33598139,https://github.com/ksahlin/NGSpeciesID,,
DiazoTIME,41025798,https://github.com/Aquatic-Nitrogen-Fixation-RCN/RCO1-nfixBiodiversity_DiazoTIME,,
SUBATOMIC,36064320,https://github.com/CBIGR/SUBATOMIC,,
SmartGraph,33430980,https://github.com/ncats/smartgraph_backend,,
RegiSTORM,37277712,https://github.com/oystein676/RegiSTORM,,
MUFFIN,33561126,https://github.com/RVanDamme/MUFFIN,,
VISION,39258319,https://github.com/biosciflo/VISION,,
uafR,38968199,http://github.org/castratton/uafR,,
NGSNGS,36661298,https://github.com/RAHenriksen/NGSNGS,,
NXTfusion,37255310,https://github.com/eugeniomazzone/CPI-NXTFusion,,
maelstRom,41188181,http://github.com/Biobix/maelstRom,,
GRASP,36699366,http://github.com/biosustain/GRASP,,
Chemprop,38147829,http://github.com/chemprop/chemprop,,
PDBminer,37977136,http://github.com/ELELAB/PDBminer,,
PTRA,37992021,http://github.com/ExaScience/ptra,,
BIGwas,34184051,http://github.com/ikmb/gwas-qc,,
Introducing ActiveInference.jl,39851682,http://github.com/ilabcode/ActiveInference.jl,,
ISA API,34528664,http://github.com/ISA-tools/isa-api/,,
DEER-PREdict,33481784,http://github.com/KULL-Centre/DEERpredict,,
FRETpredict,38461354,http://github.com/KULL-Centre/FRETpredict,,
mOTUlizer,35979445,http://github.com/moritzbuck/mOTUlizer,,
Gretel,33444437,http://github.com/samstudio8/gretel,,
fastDFE,38577958,http://github.com/Sendrowski/fastDFE,,
Chord,35637301,https://github.com/13308204545/Chord32,,
Biosaur,33450063,https://github.com/abdrakhimov1/Biosaur,,
RootPainter,35851958,https://github.com/Abe404/root_painter,,
DNAModAnnot,33471071,https://github.com/AlexisHardy/DNAModAnnot,,
ClusterFinder,38420993,https://github.com/AndySAnker/ClusterFinder,,
RBDtector,36463304,https://github.com/aroethen/RBDtector,,
OpenMandible,33602549,https://github.com/ArsoVukicevic/OpenMandible,,
FRAGLER,35797032,https://github.com/AstraZeneca/fragler,,
iAUSAXS,40765969,https://github.com/AUSAXS/AUSAXS,,
AtlasGrabber,36526955,https://github.com/b3nb0z/AtlasGrabber,,
PRONAME,39758955,https://github.com/benn888/PRONAME,,
SOAPTyping,32640979,https://github.com/BGI-flexlab/SOAPTyping,,
Circr,36304313,https://github.com/bicciatolab/Circr,,
DDtrek,40488029,https://github.com/BiocrystLab/DDtrek,,
Columba,34235407,https://github.com/biointec/columba,,
spectrum_utils,36688502,https://github.com/bittremieux/spectrum_utils,,
ForSys,41158865,https://github.com/borgesaugusto/forsys,,
COSORE,33026137,https://github.com/bpbond/cosore,,
IRIDIA-AF,37853076,https://github.com/cedricgilon/iridia-af,,
CompareM2,40971807,https://github.com/cmkobel/comparem2,,
Pheno-Ranker,39633268,https://github.com/CNAG-Biomedical-Informatics/pheno-ranker,,
BMAT,36451357,https://github.com/ColinVDB/BMAT,,
COSGAP,38808072,https://github.com/comorment/containers,,
pytximport,39565903,https://github.com/complextissue/pytximport,,
COSS,32384242,https://github.com/compomics/COSS,,
MS2Rescore,38491990,https://github.com/compomics/ms2rescore,,
psm_utils,36508242,https://github.com/compomics/psm_utils,,
meRgeION,37218737,https://github.com/daniellyz/meRgeION2,,
DepoScope,39102416,https://github.com/dimiboeckaerts/DepoScope,,
ibmd,33362981,https://github.com/DoseResponse/bmd,,
getphylo,39827349,https://github.com/drboothtj/getphylo_benchmarking,,
BioMOBS,38096184,https://github.com/driesheylen123/BioMOBS,,
Lemon-Tree,31688915,https://github.com/eb00/lemon-tree,,
GEnView,34951622,https://github.com/EbmeyerSt/GEnView,,
AncestryGeni,40627371,https://github.com/eelhaik/AncestryGeni/tree/main,,
CAMPP,32176694,https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP,,
iLipidDyn,35860415,https://github.com/ELELAB/LipidDyn,,
TADA,38060257,https://github.com/emilhaegglund/TADA,,
Peptimetric,36303760,https://github.com/ErikHartman/peptimetric,,
MkVsites,32282082,https://github.com/ErikMarklund/mkvsites,,
ComplexTome,39276156,https://github.com/farmeh/ComplexTome_extraction,,
FlexTaxD,34469515,https://github.com/FOI-Bioinformatics/flextaxd,,
SARS-CoV-2,32790776,https://github.com/galaxyproject/SARS-CoV-2,,
SpanSeq,39157582,https://github.com/genomicepidemiology/SpanSeq,,
geckopy,37931133,https://github.com/ginkgobioworks/geckopy,,
ArcTiCA,38310137,https://github.com/hart-davis/ARCTiCA/,,
PyAMARES,39682576,https://github.com/HawkMRS/pyAMARES,,
EagleImp,36130053,https://github.com/ikmb/eagleimp,,
OmicsVolcano,33532728,https://github.com/IrinaVKuznetsova/OmicsVolcano,,
vcfgl,40045175,https://github.com/isinaltinkaya/vcfgl,,
brainageR,37843020,https://github.com/james-cole/brainageR,,
pyCancerSig,32245405,https://github.com/jessada/pyCancerSig,,
ClusterApp,39045504,https://github.com/JohannaMz/ClusterApp,,
Tquery,36091995,https://github.com/jolie/tquery,,
MODER2,31999322,https://github.com/jttoivon/moder2,,
Simultant,35597909,https://github.com/juliusbierk/simultant,,
NGSremix,34015083,https://github.com/KHanghoj/NGSremix,,
pycofitness,38335928,https://github.com/KIT-MBS/pycofitness,,
MS2Quant,37548594,https://github.com/kruvelab/MS2Quant,,
MS2Tox,36269851,https://github.com/kruvelab/MS2Tox,,
kboolnet,37308855,https://github.com/Kufalab-UCSD/kboolnet,,
ion-to-image i2i,37505508,https://github.com/LanekoffLab/i2i,,
EDIR,36453866,https://github.com/lauravongoc/EDIR,,
xrdPlanner,38306298,https://github.com/LennardKrause/xrdPlanner,,
TensorView MATLAB,36610267,https://github.com/LeoSvenningsson/TensorViewforMatlab,,
STmut,38037084,https://github.com/limin321/stmut,,
CVRmap,38538633,https://github.com/ln2t/cvrmap,,
OpenCustomDB,36961377,https://github.com/MAB-Lab/OpenCustomDB,,
MSLibrarian,35042333,https://github.com/MarcIsak/MSLibrarian,,
ARBitR,33216122,https://github.com/markhilt/ARBitR,,
Panqc,40341387,https://github.com/maxgmarin/panqc,,
MaRe,32369166,https://github.com/mcapuccini/MaRe,,
BFEX,40051453,https://github.com/MiguelDLM/BFEX,,
Neo4COVID19,35057621,https://github.com/ncats/neo4covid19,,
soibean,39361595,https://github.com/nicolaavogel/soibeanDatabase,,
ThoughtSource,37553439,https://github.com/OpenBioLink/ThoughtSource,,
CNNGWP,32117441,https://github.com/patwa67/CNNGWP,,
Met-ID,40253716,https://github.com/pbjarterot/Met-ID,,
Demes,36173327,https://github.com/popsim-consortium/demes-python,,
MagicalRsq-X,38636510,https://github.com/quansun98/MagicalRsqX,,
BacSPaD,39204272,https://github.com/ribeirosara/BacSPaD,,
MultiStageSearch,40384001,https://github.com/rki-mf2/MultiStageSearch,,
DeepMAP,40092793,https://github.com/SAbakumov/DeepMAP,,
MP-Net,35704628,https://github.com/sanghyeonp/MP-Net,,
ParaRef,41131579,https://github.com/schroeder-group/ParaRef,,
prophaser,36377787,https://github.com/scicompuu/prophaser,,
BinDel,39921343,https://github.com/seqinfo/BinDel,,
RADSex,33590960,https://github.com/SexGenomicsToolkit/radsex,,
EyeLoop,34955752,https://github.com/simonarvin/eyeloop,,
Myotube Analyzer,35689270,https://github.com/SimonNoe/myotube-analyzer-app,,
CellexalVR,34849461,https://github.com/sonejilab/cellexalvr,,
SoIR,39526372,https://github.com/songxm-ncst/SoIR-Synteny_HTML,,
Quandenser+Triqler,32591519,https://github.com/statisticalbiotechnology/quandenser,,
STCellbin,38434932,https://github.com/STOmics/STCellbin,,
OneFlowTraX,38708397,https://github.com/svenzok/OneFlowTraX,,
