tool_name,PMID,publicationDOI,URL,biotoolsID,commit_id_260317
MDSuite,36774469,10.1186/s13321-023-00687-y,https://github.com/zincware/MDSuite,,"da1f4ec346d50613b05773f1cc9b117adeda6f11
85412c18b9c09efc725b9edccf48da0a70dbbff0"
XeroGraph,40061871,10.1093/bioadv/vbaf035,https://github.com/kazilab/XeroGraph,,df54576b3a5ff4af074a82162d9787dcdb7aa86d
qgg,37882742,10.1093/bioinformatics/btad656,https://github.com/psoerensen/qgg/,,788038f0895e1bf271db6b5ced57d491ae904125
distAngsd,35647675,10.1093/molbev/msac119,https://github.com/lz398/distAngsd,,d5a9ecbdb7c440dc10a536dc16fedecdf3c9f060
TransExION,38807166,10.1186/s13321-024-00858-5,https://github.com/banhdzui/TransExION,,82d810d87d60e10042dd8617e3ae514c43615fb5
HAYSTAC,36178955,10.1371/journal.pcbi.1010493,https://github.com/antonisdim/HAYSTAC,,1c6815de88dfba6e7d89b21a9312d37ffeb17fea
BiomiX,39794699,10.1186/s12859-024-06022-y,https://github.com/IxI-97/BiomiX,,ace21907883b8b7994a5183a55a15f260cb4b61b
WISH-R,33733355,,https://github.com/QSG-Group/WISH,,2466dcf957c4c2a63fd026d5e686925baa0f43a5
qdiv,32917275,10.1186/s40168-020-00909-7,https://github.com/omvatten/qdiv,,c011381dd173149f66beff3a06251911e0356641
MiFoDB,40827925,10.1128/msystems.00141-25,https://github.com/elisacaffrey/MiFoDB,,e21ef1d4d5bd3cc2081cbe1a0ab595dfa101c82f
NeuroDevSim,37547492,10.3389/fninf.2023.1212384,https://github.com/CNS-OIST/NeuroDevSim,,5245093a863504fde1698ca9661a5657f097baba
EARS,41262171,10.1155/bmri/2142254,https://github.com/gustavstalhammar-ui/EARS,,991ff74dbc35f8085b30bb4a13b61b54e838c402
Adera2.0,36234990,10.3390/molecules27196453,https://github.com/michel-phylo/ADERA2.0,,3e4d02e24d6c73ab6becfa72820a7442ac456d19
COBY,40354253,10.1021/acs.jcim.5c00069,https://github.com/MikkelDA/COBY,,84c988229caf59a999d4c87532d8288e34c0bc20
BLAMM,32164557,10.1186/s12859-020-3348-6,https://github.com/biointec/blamm,,037e4b93fdf8eec2a81d2b5eb44dd5c14ea3c917
parallelproj,39355030,10.3389/fnume.2023.1324562,https://github.com/gschramm/parallelproj,,7f599947ea4af29d9081895ff48663a506ea6d02
SMARTER-database,39473492,10.46471/gigabyte.139,https://github.com/cnr-ibba/SMARTER-database,,61b51548b3bad7805969f4e047117eeef8c1b05e
SpecieScan,38337062,10.1093/bioinformatics/btae054,https://github.com/mesve/SpecieScan,,20f22f54a979fddacd7dc96baa56afd4f5236b54
CPSign,38943219,10.1186/s13321-024-00870-9,https://github.com/arosbio/cpsign,,bf6d35309cc48f2f13fabbae8101abce33a6bb50
GOUHFI,41158555,10.1162/IMAG.a.960,https://github.com/mafortin/GOUHFI,,3c9f3a8c6d7aabf35e34f32245a7c36bf78db33b
Deuteros 2.0,32722756,10.1093/bioinformatics/btaa677,https://github.com/andymlau/Deuteros_2.0,,908f2a45f4e4bec9d950b1aa3001e08b4ad3de21
CONCOMPRA,39679438,10.1093/bib/bbae642,https://github.com/willem-stock/CONCOMPRA,,7a957d151bfe5f22fe2fbee6095cb919f8493600
CANVAR,39382066,10.1002/mgg3.70020,https://github.com/kraesing/CANVAR,,aed3ca79eca297aa5969ce5c5cf1000d0d0c60c3
osl-dynamics,38285016,10.7554/eLife.91949,https://github.com/OHBA-analysis/osl-ephys,,d4bf635399a4556a8e8dd6d8c2007aa475f731db
LocalNgsRelate,34718411,10.1093/bioinformatics/btab732,https://github.com/idamoltke/LocalNgsRelate,,fa274ab3195074dd1c521ea1726e745217076147
REINVENT 4,38383444,10.1186/s13321-024-00812-5,https://github.com/MolecularAI/REINVENT4,,5e67f40eedbb4c617710f8156b1db585cd789770
webFlaGs,32956448,10.1093/bioinformatics/btaa788,https://github.com/GCA-VH-lab/FlaGs,,437eaf57a27ec6f8c12cb5a02d453159060f9068
MutateX,35323860,,https://github.com/ELELAB/mutatex,,56dbd8c0b627f222c09fc6c5ef6571e73c5af62c
PatientMatcher,35192731,10.1002/humu.24358,https://github.com/Clinical-Genomics/patientMatcher,,8f233acad221bb4d62d1bbc51710a2bafb8d4c6d
CyCadas,39374546,10.1093/bioinformatics/btae595,https://github.com/DII-LIH-Luxembourg/cycadas,,0aa2d92158de54476807e90881597b4952ba53c5
ARGprofiler,38377397,10.1093/bioinformatics/btae086,https://github.com/genomicepidemiology/ARGprofiler,,221865b59d1a1356563ff8bc9b0033ad7bf184e9
blik,38687779,10.1371/journal.pbio.3002447,https://github.com/brisvag/blik,,65b63f8f38165f1002ffccc74831257d7ebac89f
ONT-AmpSeq,39109544,10.1002/2211-5463.13868,https://github.com/MathiasEskildsen/ONT-AmpSeq,,4f0694de31a587342383ba12a6b4661ef1a08a6b
PhyloES,37889263,10.1093/bioinformatics/btad660,https://github.com/andygaspar/PHYLOES,,1739cdd4a5190c7a6a2130751f3b7c50aa2b45fa
PhaLP,34206969,10.3390/v13071240,https://github.com/bjcriel/PhaLP,,0620e75e304543996b0841650caaab81d365b9f4
