tool_name,PMID,publicationDOI,URL,biotoolsID_260317,commit_id_260317,biotoolsID_260920
aaresponse,38512589,10.1007/s00726-024-03386-6,https://github.com/Biometris/aaresponse,,4dd118d5552fa69c37587a649d772d425d4ac23b,
ABPEPserver,37270525,10.1186/s12885-023-10970-8,https://github.com/jasminesmn/ABPEPserver,abpepserver,636e6359f867cefad32f94fccffed7b93c2c7bc1,
adfice-ace,39236057,10.1371/journal.pone.0297703,https://github.com/adfice-it/adfice-ace,,5ea2c94ec53df13359a56d9f1e6a5070be2ec76d,
AiZynthFinder,38778382,10.1186/s13321-024-00860-x,https://github.com/MolecularAI/aizynthfinder,aizynthfinder,9859f5bc6c04c342b828aff20001504c238d7ac1,
AmsterdamUMCdb,33625129,10.1097/ccm.0000000000004916,https://github.com/AmsterdamUMC/AmsterdamUMCdb,,64fdcbf9adb2f46c10bd3ba1395b590e821975b6,AmsterdamUMCdb
AOP-Wiki RDF,35388368,10.1089/aivt.2021.0010,https://github.com/marvinm2/AOPWikiRDF,,3a9aaf0aafa6ba17a9bb3b41f8a2c2e4417fc498,
AOP-Wiki SNORQL,,,https://github.com/marvinm2/AOPWikiSNORQL,,03ba69f8ad90da7253f93d4a0e5dd3ca1e71f84a,
APE,33720735,10.1021/acs.jproteome.0c00983,https://github.com/Workflomics/ape,ape,95977550ea71e6d23dcd5f76e804b0745d907ca6,
ARAX,36752514,10.1093/bioinformatics/btad082,https://github.com/RTXteam/RTX,arax,29d74fde61f6ba80c8b8ed8b2948a85c92ed13d7,
ArGSLab,34550148,10.1039/d1sm00692d,https://github.com/jimmink/argslab,argslab,b2515d5fe602f811ffd2c0f9b35d612cdb2c3d22,
Arrhythmia-Shiny-App-Package,,,https://github.com/3lements/Arrhythmia-Shiny-App-Package,,d746ea9620e9558a3154cc9a0d91840efec9fbb2,
ATDx,35494860,10.7717/peerj-cs.833,https://github.com/S2-group/ATDx_replication_package,,e18028e7361fe05378e21fea681939dd154b9057,
AusTraits,34593819,10.1038/s41597-021-01006-6,https://github.com/traitecoevo/austraits,,36b3fa3df36788d8fb4b791ea527cc6588a63023,austraits
barcode,,,https://github.com/jfjlaros/barcode,,eefd5250e0d6ae83478890f74a5b98dbe406030b,
BiG-MAP,34581602,10.1128/msystems.00937-21,https://github.com/medema-group/BiG-MAP,big-map,af309c7e148455713f182f161e82f2bf5e8ffb88,
bin-parser,,,https://github.com/jfjlaros/bin-parser,,10ade87fdeba54a19f6ebc2d0a39c22672866d56,
bio.tools,26538599,10.1093/nar/gkv1116,https://github.com/bio-tools/biotoolsRegistry,bio.tools,d354146bed466a96137da056ea62752a97cbff3e,
BioDataFuse,PPR767904,,https://github.com/BioDataFuse/pyBiodatafuse,,f7d6fa75adf5236eaf1c7f05be6d74c56b881a2e,pyBiodatafuse
BIOMERO,,,https://github.com/NL-BioImaging/biomero,,0b9324fa6433c043eeedebe8c5ee574a23a28b9a,
Brick-CFCMC,32275829,10.1021/acs.jcim.0c00334,https://gitlab.com/ETh_TU_Delft/Brick-CFCMC,brick-cfcmc,e11727f2fd1df38b3a43ee02c78bcdc781fc1a38,
BridgeDb,20047655,10.1186/1471-2105-11-5,https://github.com/bridgedb/BridgeDb,bridgedb,8e5495d847d9290dc055ee05e20b582d670d793e,
CAPICE,32831124,10.1186/s13073-020-00775-w,https://github.com/molgenis/capice,CAPICE,229d60681e10984adad690f3d9bcda8767bb27b9,
CATAStrophy,32038539,10.3389/fmicb.2019.03088,https://github.com/ccdmb/catastrophy,catastrophy,6be2d12d1ebf6bda6034cae5171b2473a59f1036,
