tool,overall,compatibility,fairness,maintainability,sustainability,security,scientific_impact
MS2AI,0.275017136366203,0.0,0.0,0.8353284211800001,0.16055655154711565,0.47669736382597355,0.1657454706215847
VISION,0.2901023418526618,0.0,1.0,0.0815755272,0.16026067068690636,0.0,0.17102074488666452
Biosaur,0.29727585150023184,0.0,0.0,0.70407706903,0.33317082681485094,0.47669736382597355,0.31563126599323593
kboolnet,0.4245727181537,0.0,1.0,0.7892366998699999,0.16167040596754254,0.0,0.0902594952504482
EyeLoop,0.5315410907026452,0.0,1.0,0.9271366250099999,0.26125959281459127,0.0,0.6203914134703499
pyCancerSig,0.44467334754217025,0.0,1.0,0.87821997442,0.125363905,0.0,0.16646061707321844
Columba,0.4489726532980598,0.0,1.0,0.84643155838,0.12735573232801922,0.0,0.2570616574731572
SpecieScan,0.5097905626092086,0.0,1.0,1.0,0.32145585800733023,0.0,0.20504321521715727
Peptimetric,0.3819885564970393,0.0,1.0,0.61034888387,0.17028050075869505,0.0,0.02129262999073787
SUBATOMIC,0.42529616564651723,0.0,1.0,0.73950637809,0.17416606959289874,0.0,0.16455755543561854
MP-Net,0.4506836028416665,0.0,1.0,0.85618590022,0.161863853572154,0.0,0.19941221237055137
Panqc,0.48950515440884473,0.0,1.0,0.8837782463999999,0.3271097452348399,0.0,0.22457844222496012
ComplexTome,0.4101778993027386,0.0,1.0,0.6612274993,0.15811613429241023,0.0,0.19684488418898993
psm_utils,0.2999745812021747,0.0,0.0,0.8826709106299999,0.18256404643675112,0.47669736382597355,0.2645575159382619
CVRmap,0.4645706605180881,0.0,1.0,0.7438415899299999,0.127273,0.47669736382597355,0.07553685527880868
PhyloES,0.45905064311693694,0.0,1.0,0.80702599285,0.3175835901966306,0.0,0.10981698366406473
DeepMAP,0.4255789713981024,0.0,1.0,0.8476986153199999,0.15891068773106556,0.0,0.0
CBMOS,0.45480780091175776,0.0,1.0,0.8772152351,0.16002447598565683,0.0,0.20114735394767272
xrdPlanner,0.3830922269788999,0.0,1.0,0.6100378701,0.15689084620293345,0.0,0.052944310702006274
XeroGraph,0.41247045151177736,0.0,1.0,0.77714289546,0.15937120036076705,0.0,0.009694784176568983
MUFFIN,0.4567339583898179,0.0,1.0,0.7280010675999999,0.12454327270980088,0.0,0.538931809011471
FRETpredict,0.4631084706571149,0.0,1.0,0.8636649219999999,0.1657317689199313,0.0,0.28844582199571456
COSS,0.23344715837290245,0.0,0.0,0.8826784610099999,0.1454729697368421,0.0,0.24261085898831652
MS2Quant,0.4456137367131777,0.0,1.0,0.6831423674,0.2603399587408993,0.0,0.3035370736955841
18S-NemaBase,0.49816162602507835,0.0,1.0,0.9204575779999999,0.326196349811214,0.0,0.23669853239066052
BinDel,0.44166738345764883,0.0,1.0,0.7795104244,0.3177664743289609,0.0,0.006463189451045989
BioMOBS,0.44904379699758357,0.0,1.0,0.8942564897399999,0.22764272721256468,0.0,0.012262112358130432
ionmob,0.5285187111082962,0.0,1.0,0.9068145938600001,0.1596406031759504,0.47669736382597355,0.2934864589242832
OpenMandible,0.0720280121784127,0.0,0.0,,0.16045735107511888,0.0,0.24409707255196417
MutateX,0.30258281499591794,0.0,0.0,0.7714344667999999,0.1274078655457768,0.47669736382597355,0.5726243853755576
MagicalRsq-X,0.20366081315224782,0.0,0.0,0.7263623248,0.22764272721256468,0.0,0.1274935698326892
ONT-AmpSeq,0.4633164404900443,0.0,1.0,0.79930564695,0.2629603447310176,0.0,0.24829274174259455
TADA,0.4517843811690421,0.0,1.0,0.91989871633,0.130047511106664,0.0,0.14726758728241757
FRAGLER,0.44250834135846434,0.0,1.0,0.811163267,0.17480171050380847,0.0,0.18698217995194238
ibmd,0.43058200077098463,0.0,1.0,0.7457164509800001,0.13176715840400718,0.0,0.26768594655796735
SQUiD,0.42828792219656026,0.0,1.0,0.78843206124,0.15891068773106556,0.0,0.12854228547324115
PepGM,0.5167956946286463,0.0,1.0,0.8892793394999999,0.17116924929561259,0.47669736382597355,0.20369469165545948
DepoScope,0.48246107050404546,0.0,1.0,0.94255941925,0.17067932223528476,0.0,0.3098345120049846
CANVAR,0.41572721259907836,0.0,1.0,0.794344501,0.15811613429241023,0.0,0.009694784176568983
SmartGraph,0.46422288874230916,0.0,1.0,0.8919741400699999,0.15732158085375492,0.0,0.26155496076564366
NeuroDevSim,0.4007967344379276,0.0,1.0,0.39485903879999995,0.1628223241058946,0.47669736382597355,0.07943271654829323
BIGwas,0.4683448583952676,0.0,1.0,0.6522969305199999,0.13507939901723334,0.47669736382597355,0.2579911623813984
SoIR,0.33714770502878766,0.0,1.0,0.3184175176,0.15891068773106556,0.0,0.16472547549609712
ARGprofiler,0.5243503297603869,0.0,1.0,0.8685815589999999,0.1907641943862342,0.47669736382597355,0.2748656867511202
OmicsVolcano,0.4269983604540261,0.0,1.0,0.72936139775,0.15652702741509958,0.0,0.2256515881901589
BMAT,0.3721109726753939,0.0,1.0,0.47472051560000006,0.126636635,0.0,0.24506977504515534
SpanSeq,0.4768987058343644,0.0,1.0,0.8728058372399999,0.3077714213054609,0.0,0.16494417345104204
NGSNGS,0.4080897512749342,0.0,1.0,0.56213534267,0.1260766885942167,0.0,0.40535776066421914
pycofitness,0.44068112593920994,0.0,1.0,0.82705118905,0.15652702741509958,0.0,0.1722086600726307
Demes,0.44823176046206903,0.0,1.0,0.68951735712,0.22269879223477107,0.0,0.3754556142202405
ThoughtSource,0.5649945967924827,0.0,1.0,0.79814160915,0.20167951377757704,0.47669736382597355,0.7368659474788166
GRASP,0.48984554432469074,0.0,1.0,0.8261582211699999,0.12336666526284573,0.47669736382597355,0.15676583289664944
MODER2,0.42183197969243236,0.0,1.0,0.76950966617,0.16247624103040614,0.0,0.09995427942701718
CNNGWP,0.512629921477731,0.0,1.0,0.975361528,0.31521472477713475,0.0,0.28344326275139176
HAYSTAC,0.44549956197161056,0.0,1.0,0.7818541150399999,0.17669791144564112,0.0,0.26192879764756904
mOTUlizer,0.41348812521745454,0.0,1.0,0.6065824778,0.1616214954627773,0.0,0.31683728947960144
BFEX,0.45797778359267,0.0,1.0,0.71841391263,0.15891068773106556,0.47669736382597355,0.012262112358130432
ClusterApp,0.4221874803561879,0.0,1.0,0.79662628325,0.15652702741509958,0.0,0.06460327600860134
soibean,0.4202741388962191,0.0,1.0,0.7905068496,0.15891068773106556,0.0,0.05490849183203236
CAMPP,0.4619303280246495,0.0,1.0,0.6476679996,0.4164086730268083,0.0,0.25856205446884034
COSORE,0.48396601329727995,0.0,1.0,0.8630656434299999,0.22170733535555237,0.0,0.38185768417886023
STCellbin,0.471633601605875,0.0,1.0,0.83250681965,0.3272057526189232,0.0,0.1591452505439576
TARDIS,0.40227761285456504,0.0,1.0,0.65738731296,0.16152435254572606,0.0,0.12920655201720269
pypgatk,0.5189968364302326,0.0,1.0,0.8590939096399999,0.1354477234788426,0.47669736382597355,0.3336025632641661
CCMetagen,0.5574958837824242,0.0,1.0,0.80736595355,0.20824907062812476,0.47669736382597355,0.6445430279134197
CPSign,0.23188631236434706,0.0,0.0,0.87683301329,0.15856938854658495,0.0,0.21833405274206494
iLipidDyn,0.5262697428456707,0.0,1.0,0.90294948245,0.16108524710336308,0.47669736382597355,0.2783772009372202
Lemon-Tree,0.4666296529025039,0.0,1.0,0.75295662069,0.31749205707730516,0.0,0.2718242734918894
GEnView,0.3754878354666583,0.0,1.0,0.39297661489999997,0.24046317653954813,0.0,0.23674030638734664
Myotube Analyzer,0.4905505307477378,0.0,1.0,1.0,0.15811613429241023,0.0,0.29893696983504514
PhyloFisher,0.5497624756961464,0.0,1.0,0.80261145644,0.2571545448444253,0.47669736382597355,0.5070395720923256
ForSys,0.4829215711418081,0.0,1.0,0.81258306765,0.12120222744044597,0.47669736382597355,0.1238142375993165
CONCOMPRA,0.4843496811097558,0.0,1.0,0.9193454247499999,0.27746621322973253,0.0,0.19620923614688693
CyCadas,0.5077050553404371,0.0,1.0,0.8576661163999999,0.22411920535848254,0.47669736382597355,0.0953941516135711
MiFoDB,0.4670176853735894,0.0,1.0,1.0,0.15811613429241023,0.0,0.09349108997597119
Introducing ActiveInference.jl,0.5082392886126282,0.0,1.0,0.8008017439999999,0.20881635483426855,0.47669736382597355,0.22523246918416767
SNPeffect,0.44077782307482416,0.0,1.0,0.8457201512099999,0.1672983181929903,0.0,0.1227433625661567
parallelproj,0.5130249319625615,0.0,1.0,0.79053017193,0.13428668681517777,0.47669736382597355,0.40467538581985835
SOAPTyping,0.454376394413021,0.0,1.0,0.83107613925,0.1707946668428174,0.0,0.26177365872058866
MS2Tox,0.45250729371554527,0.0,1.0,0.7595984360999999,0.16646239165887328,0.0,0.3789060089139142
RADSex,0.23778443021949097,0.0,0.0,0.8471600835599999,0.13843755899490068,0.0,0.35461707457483815
UCEasy,0.4680934435579169,0.0,1.0,0.9636686141199999,0.18356685935194533,0.0,0.12638156578087795
OpenPhi,0.501010667912839,0.0,1.0,0.790059227,0.22899611220884175,0.47669736382597355,0.14878619982342706
NanoPack2,0.5520660337745128,0.0,1.0,1.0,0.18712043052623456,0.0,0.7894790891119612
CoverM,0.47424590606675504,0.0,1.0,0.64947148315,0.1346531185596132,0.0,0.8145915765033804
PhaLP,0.3942576324911435,0.0,1.0,0.46106535469999993,0.22650451357650186,0.0,0.30247557692153393
brainageR,0.5014563803230263,0.0,1.0,0.8526608120999999,0.11856848839963527,0.0,0.7183165220648089
IRIDIA-AF,0.5514356731169515,0.0,1.0,0.92464262888,0.32629265649800665,0.47669736382597355,0.19482982315129166
SBMLtoOdin,0.3792520210887965,0.0,1.0,0.6137024199,0.15891068773106556,0.0,0.009694784176568983
SARS-CoV-2,0.5743721513065927,0.0,1.0,0.93956465739,0.3874393687807823,0.0,0.7700297903719919
osl-dynamics,0.5247389092001508,0.0,1.0,0.76619505159,0.19255232657584354,0.47669736382597355,0.45659970139637696
Simultant,0.43860662312452686,0.0,1.0,0.9083086950599999,0.15891068773106556,0.0,0.006463189451045989
Pheno-Ranker,0.4319637188008062,0.0,1.0,0.7854835352099999,0.15811613429241023,0.0,0.16712488361717998
getphylo,0.47271277254025473,0.0,1.0,1.0,0.15891068773106556,0.0,0.14193639235695757
ARBitR,0.43711464584436943,0.0,1.0,0.7917575237,0.12472754,0.0,0.2545172427649208
PyAMARES,0.45979390382753516,0.0,1.0,0.8077570024999999,0.2834762028873598,0.0,0.16969221179874144
DDtrek,0.4117542596886813,0.0,1.0,0.7740272586999999,0.15891068773106556,0.0,0.009694784176568983
FlexTaxD,0.23087748710945344,0.0,0.0,0.8172086951599999,0.1276954856721436,0.0,0.3645490418952214
vcfgl,0.3939351051334173,0.0,1.0,0.50839065747,0.25882253567148356,0.0,0.16408982745399409
Circr,0.4081697907176328,0.0,1.0,0.5617270443,0.24457269342114007,0.0,0.21680898109180471
SNPtotree,0.47165283473474595,0.0,1.0,1.0,0.15811613429241023,0.0,0.13395675928373518
Cancermuts,0.4491579653157912,0.0,1.0,0.82538564217,0.16986260506363288,0.0,0.22778141844862465
COBY,0.42870664309928896,0.0,1.0,0.56452037773,0.2953192193093644,0.0,0.3097998420955838
ScreenDB,0.43672453299410674,0.0,1.0,0.815526954,0.17357932413667437,0.0,0.1307251645582122
dsMTL,0.5420555726529503,0.0,1.0,0.8872541737299999,0.33184153581400816,0.47669736382597355,0.17021586044074605
fastDFE,0.39225191698122686,0.0,1.0,,0.3119363103938584,0.0,0.2697921498804236
TensorView MATLAB,0.2118486792213661,0.0,0.0,0.8181941276499999,0.15756986293064368,0.0,0.14878619982342706
MDSuite,0.4350923897015509,0.0,1.0,,0.17747407747308297,0.47669736382597355,0.28414362285373695
DiazoTIME,0.20738818088568994,0.0,0.0,0.8772185255999999,0.15891068773106556,0.0,0.0032315947255229945
LocalNgsRelate,0.36471763458085243,0.0,1.0,0.47364362062,0.12600027,0.0,0.18345077730527354
Chemprop,0.6050173357339677,0.0,1.0,0.84842779655,0.19997832739216445,0.47669736382597355,1.0
PTRA,0.5183211948981284,0.0,1.0,0.74019480795,0.3436331388702159,0.47669736382597355,0.20437894867319573
Neo4COVID19,0.23859622607327027,0.0,0.0,0.9027403475,0.2041389833150261,0.0,0.1580046279902878
WISH-R,0.10550842730432015,0.0,0.0,0.2691693252,0.19401588574679707,0.0,0.13367694183636405
qdiv,0.4371731381102338,0.0,1.0,0.6132094926899999,0.30049607257368827,0.0,0.28924218565847615
Adera2.0,0.456141904632191,0.0,1.0,0.910367548,0.17260141504296714,0.0,0.13395675928373518
PatientMatcher,0.5374123411202618,0.0,1.0,0.90579630099,0.26071085071651784,0.47669736382597355,0.2108980587846219
pytximport,0.5189645975772089,0.0,1.0,0.77756868071,0.30923162058463693,0.47669736382597355,0.19900172139264402
CLIPPER 2.0,0.43630772806142953,0.0,1.0,0.7613395414699999,0.1706351503489136,0.0,0.2277097887547392
MSLibrarian,0.4937954347195529,0.0,1.0,0.90739882141,0.305858280133211,0.0,0.25429844279677016
Quandenser+Triqler,0.47760402434805244,0.0,1.0,0.90290246039,0.1988612295415125,0.0,0.29243774328373123
pycabnn,0.5221992941087196,0.0,1.0,0.8732039528,0.24802813388366277,0.47669736382597355,0.1561015663526879
BacSPaD,0.4630382169320729,0.0,1.0,1.0,0.15891068773106556,0.0,0.05747582001359381
DEER-PREdict,0.5131395480407768,0.0,1.0,0.9109398364999999,0.3255373520131583,0.0,0.3853598529246752
blik,0.5251547290085113,0.0,1.0,0.91403670167,0.1313588745594917,0.47669736382597355,0.29667692463115475
NXTfusion,0.3520698868445415,0.0,1.0,0.40490095345,0.15891068773106556,0.0,0.14193639235695757
BiomiX,0.4375017312838553,0.0,1.0,0.6720235999699999,0.29580163685828187,0.0,0.1955449696029254
GeneDMRs,0.43813926907708695,0.0,1.0,0.71801949304,0.2493561248962191,0.0,0.1941655566073301
OneFlowTraX,0.47140551600258535,0.0,1.0,0.9724714072999999,0.15811613429241023,0.0,0.1805189905008964
qgg,0.4074387520467319,0.0,1.0,0.58427455462,0.13112671330309214,0.0,0.35239534166181363
ISA API,0.5277287780321428,0.0,1.0,0.8079495905526939,0.13793808413844605,0.47669736382597355,0.496359022677954
CellexalVR,0.4667667306089748,0.0,1.0,0.88546800356,0.16826384326177876,0.0,0.2777356147940583
RegiSTORM,0.42492082063284,0.0,1.0,0.78980179167,0.15891068773106556,0.0,0.09672268470149419
geckopy,0.46430106536828925,0.0,1.0,0.82420811425,0.24343005242348253,0.0,0.24412569105382267
SMARTER-database,0.4357423081046598,0.0,1.0,0.85794542944,0.11938648496920672,0.0,0.13395675928373518
MITST,0.42199133412051215,0.0,1.0,0.82269808666,0.15891068773106556,0.0,0.012926378902091978
iAUSAXS,0.48886371385030836,0.0,1.0,0.8694482051499999,0.11484985534918855,0.47669736382597355,0.08523163945537768
RootPainter,0.5550300725022596,0.0,1.0,0.88237829966,0.10348965909588702,0.47669736382597355,0.6582037294521154
OpenCustomDB,0.4409180432852881,0.0,1.0,0.79944653375,0.16493796169164932,0.0,0.20964875348952433
CompareM2,0.46984030554508965,0.0,1.0,0.9561223769999999,0.126272939962406,0.0,0.24683999423338593
BLAMM,0.47548007883686183,0.0,1.0,0.86767061623,0.32320284987564296,0.0,0.13690853656188703
GOUHFI,0.5068236852482525,0.0,1.0,0.81868996011,0.29890510258532665,0.47669736382597355,0.036786337074391294
Met-ID,0.43294117784007397,0.0,1.0,0.87853665201,0.15891068773106556,0.0,0.009694784176568983
distAngsd,0.4019423381678999,0.0,1.0,0.50877997705,0.28387264771542936,0.0,0.19314556148184253
DNAModAnnot,0.4225144789726572,0.0,1.0,0.7141830964999999,0.15811613429241023,0.0,0.21082214765046703
Varia,0.4576759682969243,0.0,1.0,0.9025453051999999,0.15891068773106556,0.0,0.18314223934283802
EagleImp,0.4178577612281383,0.0,1.0,0.59412828033,0.23321626547998114,0.0,0.26224784581146376
MultiStageSearch,0.44329317093703213,0.0,1.0,0.90405357008,0.15891068773106556,0.0,0.05490849183203236
DTU-DADS-Aqua,0.2647931858307626,0.0,0.0,0.81277461625,0.14000026315789474,0.47669736382597355,0.14936072837310388
meRgeION,0.17270052010274556,0.0,0.0,0.5924847317999999,0.18295094375129617,0.0,0.1657963505292569
MkVsites,0.4509950477941747,0.0,1.0,0.85513748509,0.12345481,0.0,0.2655632404302126
ParaRef,0.4580834572817327,0.0,1.0,1.0,0.15811613429241023,0.0,0.015493707083653427
