tool,dimension,dimension_score,metric,raw_value,normalized_value,weight,contribution
MS2AI,compatibility,0.5,input_formats,,,0.0,0.0
MS2AI,compatibility,0.5,output_formats,,,0.0,0.0
MS2AI,compatibility,0.5,has_workflow_support,False,0.0,0.5,0.0
MS2AI,compatibility,0.5,has_distribution_support,True,1.0,0.5,0.5
MS2AI,fairness,0.3333333333333333,license,False,0.0,0.22222222222222224,0.0
MS2AI,fairness,0.3333333333333333,repository,True,1.0,0.3333333333333333,0.3333333333333333
MS2AI,fairness,0.3333333333333333,registry,False,0.0,0.22222222222222224,0.0
MS2AI,fairness,0.3333333333333333,citation,False,0.0,0.11111111111111112,0.0
MS2AI,fairness,0.3333333333333333,checklist,False,0.0,0.11111111111111112,0.0
MS2AI,fairness,0.3333333333333333,publication_open_access,,,0.0,0.0
MS2AI,maintainability,0.8049817777777778,nloc_per_file,46.02,0.95398,0.3,0.286194
MS2AI,maintainability,0.8049817777777778,avg_ccn,4.92,0.5644444444444445,0.4,0.22577777777777783
MS2AI,maintainability,0.8049817777777778,duplicate_rate,2.33,0.9767,0.3,0.29301
MS2AI,sustainability,0.31252704370523104,avg_issue_close_time_days,194.573677031893,0.0,0.3,0.0
MS2AI,sustainability,0.31252704370523104,num_open_issues,1,0.995,0.3,0.2985
MS2AI,sustainability,0.31252704370523104,days_since_last_commit,1219,0.0,0.2,0.0
MS2AI,sustainability,0.31252704370523104,inverse_simpson_index,3.6651383039939014,0.1402704370523106,0.1,0.01402704370523106
MS2AI,sustainability,0.31252704370523104,has_releases,False,0.0,0.1,0.0
MS2AI,security,0.5,default_branch_protected,True,1.0,0.5,0.5
MS2AI,security,0.5,has_security_policy,False,0.0,0.4852941176470588,0.0
MS2AI,security,0.5,gitignore_present,False,0.0,0.014705882352941176,0.0
MS2AI,security,0.5,security_updates,,,0.0,0.0
MS2AI,security,0.5,secret_scanning,,,0.0,0.0
MS2AI,scientific_impact,0.02,fwci,,,0.0,0.0
MS2AI,scientific_impact,0.02,citation_count,,,0.0,0.0
MS2AI,scientific_impact,0.02,star_count,2,0.02,0.6,0.012
MS2AI,scientific_impact,0.02,fork_count,2,0.02,0.4,0.008
MS2AI,scientific_impact,0.02,altmetric_score,,,0.0,0.0
VISION,compatibility,0.0,input_formats,,,0.0,0.0
VISION,compatibility,0.0,output_formats,,,0.0,0.0
VISION,compatibility,0.0,has_workflow_support,False,0.0,0.5,0.0
VISION,compatibility,0.0,has_distribution_support,False,0.0,0.5,0.0
VISION,fairness,,license,,,0.0,0.0
VISION,fairness,,repository,,,0.0,0.0
VISION,fairness,,registry,,,0.0,0.0
VISION,fairness,,citation,,,0.0,0.0
VISION,fairness,,checklist,,,0.0,0.0
VISION,fairness,,publication_open_access,,,0.0,0.0
VISION,maintainability,,nloc_per_file,,,0.0,0.0
VISION,maintainability,,avg_ccn,,,0.0,0.0
VISION,maintainability,,duplicate_rate,,,0.0,0.0
VISION,sustainability,0.4270673124292883,avg_issue_close_time_days,,,0.0,0.0
VISION,sustainability,0.4270673124292883,num_open_issues,1,0.995,0.4285714285714286,0.42642857142857143
VISION,sustainability,0.4270673124292883,days_since_last_commit,791,0.0,0.28571428571428575,0.0
VISION,sustainability,0.4270673124292883,inverse_simpson_index,1.0849525530953459,0.004471187005018204,0.14285714285714288,0.0006387410007168865
VISION,sustainability,0.4270673124292883,has_releases,False,0.0,0.14285714285714288,0.0
VISION,security,0.0,default_branch_protected,False,0.0,0.5,0.0
VISION,security,0.0,has_security_policy,False,0.0,0.4852941176470588,0.0
VISION,security,0.0,gitignore_present,False,0.0,0.014705882352941176,0.0
VISION,security,0.0,security_updates,,,0.0,0.0
VISION,security,0.0,secret_scanning,,,0.0,0.0
VISION,scientific_impact,0.06,fwci,,,0.0,0.0
VISION,scientific_impact,0.06,citation_count,,,0.0,0.0
VISION,scientific_impact,0.06,star_count,10,0.1,0.6,0.06
VISION,scientific_impact,0.06,fork_count,0,0.0,0.4,0.0
VISION,scientific_impact,0.06,altmetric_score,,,0.0,0.0
Biosaur,compatibility,0.5,input_formats,,,0.0,0.0
Biosaur,compatibility,0.5,output_formats,,,0.0,0.0
Biosaur,compatibility,0.5,has_workflow_support,False,0.0,0.5,0.0
Biosaur,compatibility,0.5,has_distribution_support,True,1.0,0.5,0.5
Biosaur,fairness,0.5555555555555556,license,True,1.0,0.22222222222222224,0.22222222222222224
