tool,overall,compatibility,fairness,maintainability,sustainability,security,scientific_impact
DSW,0.40567253500112677,0.0,0.36993450180694837,1.0,0.3684807312478097,0.0,0.4558160843720177
GSI-RADS,0.5805011898031411,0.6585757321349203,0.715078,0.7642133670625,0.356927598538147,0.22370144841970407,0.6184262884279119
VBG,0.5062254954298818,0.0,0.715078,1.0,0.3114533737202053,0.0,0.7484939694653399
rtfMRI-NF,0.5870978686434947,0.6585757321349203,0.715078,0.97501895875,0.15891068773106556,0.22370144841970407,0.6203793539823518
demultiplex,0.6539559292149708,0.6585757321349203,0.9071894731256964,0.9404624261875,0.3020226238093254,0.22370144841970407,0.6591876372376317
M2R,0.351590927938721,0.0,0.715078,0.6585410774999999,0.2113510398809353,0.0,0.16331850948489426
homologueDiscoverer,0.38230849004842427,0.0,0.465632,0.8481967564583334,0.21626059085193644,0.22370144841970407,0.342595490618228
HUMID,0.4324504419441328,0.0,0.6640526343715181,0.8746887833124999,0.23701195410958903,0.22370144841970407,0.3112204309962916
Paratype,0.31304976936855117,0.0,0.465632,0.47724350216666667,0.13132941506849313,0.0,0.7649993792810929
bio.tools,0.5788377072577414,0.218349,0.830377,0.48000180412499993,0.3448574968613527,0.7003988122456777,0.9947999947999947
DMI-TCAT,0.6185539041976001,0.6585757321349203,0.715078,0.6029351224166667,0.45716254419767044,0.5233026361740265,0.761507225873415
DisGUVery,0.5589760399850634,0.6585757321349203,0.715078,0.7438721991666666,0.21174571603206935,0.47669736382597355,0.4342166546889825
LLM Extractinator,0.6328551366376512,0.6585757321349203,0.9071894731256964,0.8649121246875,0.38824579351658367,0.22370144841970407,0.47045532770071613
molgenis-rdconnect-report,0.39358597114049737,0.0,0.6640526343715181,0.9295732108749999,0.15891068773106556,0.22370144841970407,0.0
PyGellermann,0.6193000684103146,0.6585757321349203,0.830377,0.90967666125,0.33059444298105056,0.22370144841970407,0.5158933552361524
mzRecal,0.5241370689956024,0.806422,0.654102,0.6919088477916666,0.3014476928439243,0.22370144841970407,0.26332683069319357
PIPENN,0.4102060092759625,0.0,0.715078,0.6933637366458333,0.25401891180487485,0.0,0.5450035551682231
ATDx,0.456731884793772,0.0,0.715078,0.8724475608958333,0.34831867628615865,0.0,0.483052570638507
SNIRF,0.6204403945546981,0.0,0.805987,1.0,0.4624443322040664,0.47669736382597355,0.8259347130923766
ReFiBot,0.37712864009573954,0.0,0.805987,0.48567197925,0.3323595107612167,0.0,0.3200099565052844
AOP-Wiki RDF,0.5328651265438662,0.6585757321349203,0.805987,0.44932948193749994,0.27269368937175076,0.22370144841970407,0.7166821191605307
XNAT Pipelines,0.35832219869659426,0.0,0.6640526343715181,0.5117125400625,0.31446193332962963,0.0,0.4166685893672709
Tallo,0.473724903588303,0.0,0.715078,0.8599421253333333,0.18872418646987404,0.0,0.9093956495653531
TOSCCA,0.3741217465226986,0.0,0.715078,0.3109083346666667,0.23364174289155723,0.7003988122456777,0.20578289964748275
XNAT Browser,0.5180213515510924,0.6585757321349203,0.5058818674354304,0.9211590002499999,0.17347266848083326,0.7003988122456777,0.0
GcDUO,0.3720122070447257,0.0,0.465632,0.6690788642708333,0.3352902925054801,0.22370144841970407,0.37889242392402617
aaresponse,0.3329836789145805,0.0,0.465632,0.7608608909583333,0.2440834708350585,0.0,0.2563020421288213
NiftyPAD,0.5516165791125368,0.6585757321349203,0.921286,0.57963928025,0.2624886394042427,0.22370144841970407,0.4400947620877695
MetalDock,0.4941923044035769,0.6585757321349203,0.715078,0.3871188310625,0.22758394558085582,0.22370144841970407,0.7396946307592553
RWE-BRIDGE,0.4795418796566787,0.0,0.805987,1.0,0.30152036973760316,0.22370144841970407,0.11890000637671164
MOLGENIS EMX2,0.7392724051217056,0.6585757321349203,0.715078,0.7621739388958333,0.5945108175741469,1.0,0.8139798850890255
HPCCS,0.30781875657318036,0.0,0.563193,0.35738500406249996,0.14922094769817792,0.0,0.7115285789915421
PSnpBind-ML,0.5099427645540167,0.6585757321349203,0.805987,0.47344998875,0.15891068773106556,0.22370144841970407,0.6562906674130571
GlassesViewer,0.5298550115955545,0.0,0.715078,0.9551863746666667,0.3365492161131298,0.22370144841970407,0.7595090884627596
DataSHIELD dsBase,0.5308727658594763,0.0,0.830377,0.5764970899166667,0.22118571582427432,0.7003988122456777,0.898141843998609
metaRbolomics Toolbox,0.5290610937739686,0.0,0.715078,0.9359725312499999,0.3848034728979566,0.22370144841970407,0.7092234356768837
BridgeDb,0.5940924555744483,0.0,0.921286,0.72214760575,0.2708582237160966,0.7003988122456777,0.9344371784787334
DEN-IM,0.4558492823978588,0.34142426786507973,0.715078,0.6348358450416667,0.2638208642176181,0.22370144841970407,0.33634134464614196
CT-SEQUOIA,0.3479323908450483,0.0,0.715078,0.4502289046875,0.15891068773106556,0.0,0.5841304924483989
OPSCCnet,0.5687656140100905,0.6585757321349203,0.805987,0.9336746111249999,0.15891068773106556,0.0,0.5896526526635943
