tool_name,PMID,publicationDOI,URL,biotoolsID
aaresponse,38512589,10.1007/s00726-024-03386-6,https://github.com/Biometris/aaresponse,
ABPEPserver,37270525,10.1186/s12885-023-10970-8,https://github.com/jasminesmn/ABPEPserver,abpepserver
adfice-ace,39236057,10.1371/journal.pone.0297703,https://github.com/adfice-it/adfice-ace,
AiZynthFinder,38778382,10.1186/s13321-024-00860-x,https://github.com/MolecularAI/aizynthfinder,aizynthfinder
AmsterdamUMCdb,33625129,10.1097/ccm.0000000000004916,https://github.com/AmsterdamUMC/AmsterdamUMCdb,
AOP-Wiki RDF,35388368,10.1089/aivt.2021.0010,https://github.com/marvinm2/AOPWikiRDF,
AOP-Wiki SNORQL,,,https://github.com/marvinm2/AOPWikiSNORQL,
APE,33720735,10.1021/acs.jproteome.0c00983,https://github.com/sanctuuary/APE,ape
ARAX,36752514,10.1093/bioinformatics/btad082,https://github.com/RTXteam/RTX,arax
ArGSLab,34550148,10.1039/d1sm00692d,https://github.com/jimmink/argslab,argslab
Arrhythmia-Shiny-App-Package,,,https://github.com/3lements/Arrhythmia-Shiny-App-Package,
ATDx,35494860,10.7717/peerj-cs.833,https://github.com/S2-group/ATDx_replication_package,
AusTraits,34593819,10.1038/s41597-021-01006-6,https://github.com/traitecoevo/austraits,
barcode,,,https://github.com/jfjlaros/barcode,
BiG-MAP,34581602,10.1128/msystems.00937-21,https://github.com/medema-group/BiG-MAP,big-map
bin-parser,,,https://github.com/jfjlaros/bin-parser,
bio.tools,26538599,10.1093/nar/gkv1116,https://github.com/bio-tools/biotoolsRegistry,bio.tools
BioDataFuse,PPR767904,,https://github.com/BioDataFuse/pyBiodatafuse,
BIOMERO,,,https://github.com/NL-BioImaging/biomero,
Brick-CFCMC,32275829,10.1021/acs.jcim.0c00334,https://gitlab.com/ETh_TU_Delft/Brick-CFCMC,brick-cfcmc
BridgeDb,20047655,10.1186/1471-2105-11-5,https://github.com/bridgedb/BridgeDb,bridgedb
CAPICE,32831124,10.1186/s13073-020-00775-w,https://github.com/molgenis/capice,CAPICE
CATAStrophy,32038539,10.3389/fmicb.2019.03088,https://github.com/ccdmb/catastrophy,catastrophy
CIBRA,39230704,10.1093/bioinformatics/btae384,https://github.com/AIT4LIFE-UU/CIBRA,
cis-mQTL,40087310,10.1038/s41467-025-57760-3,https://github.com/ariadnacilleros/Cis-mQTL-mapping-protocol-for-methylome,
compareMS2,36173614,10.1021/acs.jproteome.2c00457,https://github.com/524D/compareMS2,comparems2
PathBench-MIL,,10.48550/arXiv.2512.17517,https://github.com/Sbrussee/PathBench-MIL,
CONQUER,33575630,10.1093/nargab/lqaa085,https://github.com/roderickslieker/CONQUER,conquer
CoVE-Public,,,https://github.com/VAC4EU/CoVE-Public,
Covid19EstimationHydroxychloroquine2,33367863,10.1093/rheumatology/keaa771,https://github.com/ohdsi-studies/Covid19EstimationHydroxychloroquine2,
CT-SEQUOIA,38323867,10.1002/mp.16967,https://github.com/UMCG-CVI/SEQUOIA,
cTTN1,33583186,10.1161/circulationaha.120.050455,https://github.com/ImperialCardioGenetics/cTTN,
CyTargetLinker,24340000,10.1371/journal.pone.0082160,https://github.com/CyTargetLinker/cytargetlinker/,
Dareplane,40014925,10.1088/1741-2552/adbb20,https://github.com/bsdlab/Dareplane,
DataSHIELD dsBase,25261970,10.1093/ije/dyu188,https://github.com/datashield/dsBase,datashield
DataSHIELD dsBaseClient,25261970,10.1093/ije/dyu188,https://github.com/datashield/dsBaseClient,datashield
DeepRank-GNN-esm,38213822,10.1093/bioadv/vbad191,https://github.com/haddocking/DeepRank-GNN-esm,
demultiplex,,,https://github.com/jfjlaros/demultiplex,
DEN-IM,32134380,10.1099/mgen.0.000328,https://github.com/B-UMMI/DEN-IM,DEN-IM
dict-trie,,,https://github.com/jfjlaros/dict-trie,
DiffusionLab,35689015,10.1038/s41598-022-13446-0,https://github.com/fmeirer/DiffusionLab,diffusionlab
disclosuR,39253002,10.1016/j.mex.2024.102909,https://github.com/jonasroettger/disclosuR,
DiSCount,32377220,10.1186/s13007-020-00602-8,https://gitlab.com/lodewijk-track32/discount_paper,discount
DisGUVery,36508359,10.1021/acssynbio.2c00407,https://github.com/DisGUVery/disguvery,
DMI-TCAT,33665150,10.1016/j.mex.2020.101164,https://github.com/digitalmethodsinitiative/dmi-tcat,
dnabarcoder,35621380,10.1111/1755-0998.13651,https://github.com/vuthuyduong/dnabarcoder,
DRAM,32766782,10.1093/nar/gkaa621,https://github.com/WrightonLabCSU/DRAM,
DrugEx,37272707,10.1021/acs.jcim.3c00434,https://github.com/CDDLeiden/DrugEx,drugex
Dsuite,33012121,10.1111/1755-0998.13265,https://github.com/millanek/Dsuite,Dsuite
DSW,,,https://github.com/ds-wizard/ds-wizard,Data_Stewardship_Wizard
Edutex,34640969,10.3390/s21196649,https://gitlab.com/ciordashertel/edutex,
EFAST,33688604,10.1162/netn_a_00162,https://github.com/vankesteren/efast,
EFMviz,32059585,10.3390/metabo10020066,https://github.com/opencobra/cobratoolbox,
elastix,19923044,10.1109/tmi.2009.2035616 ,https://github.com/SuperElastix/elastix,
ENCORE,39284801,10.1038/s41467-024-52446-8,https://github.com/EDS-Bioinformatics-Laboratory/ENCORE,encore
ePlatypus,37682115,10.1093/bioinformatics/btad553,https://github.com/alexyermanos/Platypus,platypus-lymphocyte
FAIRDataPoint,,,https://github.com/FAIRDataTeam/FAIRDataPoint,FAIRDataPoint
FAIRDataTeam,,,https://github.com/FAIRDataTeam/FAIRDataPoint-client,
FASTAFS,34724897,10.1186/s12859-021-04455-3,https://github.com/yhoogstrate/fastafs,fastafs
fNLA,35982194,10.1038/s41598-022-18180-1,https://github.com/jpviguerasguillen/feedback-non-local-attention-fNLA,
FQM,33932026,10.1002/mp.14912,https://github.com/nwerf/FQM_Analysis,
fRLM,38205821,10.1093/ije/dyad190,https://github.com/jbodelet/fRLM,
GcDUO,40037642,10.1093/bib/bbaf080,https://github.com/mariallr/GcDuo,
Gempipe,PPR1046301,,https://github.com/lazzarigioele/gempipe,
GeneNetTools,36179082,10.1093/bioinformatics/btac657,https://github.com/V-Bernal/GeneNetTools,genenettools
GENOVA,34046591,10.1093/nargab/lqab040,https://github.com/dewitlab/GENOVA,genova
GenUI,34563271,10.1186/s13321-021-00550-y,https://github.com/martin-sicho/genui,genui
GlassesValidator,37326770,10.3758/s13428-023-02105-5,https://github.com/dcnieho/glassesValidator,
GlassesViewer,31898293,10.3758/s13428-019-01314-1,https://github.com/dcnieho/GlassesViewer,glassesviewer
GlycoDash,39985669,10.1007/s00216-025-05794-3,https://github.com/Center-for-Proteomics-and-Metabolomics/glycodash,
GMGTS,40199819,10.1093/bioinformatics/btaf154,https://github.com/yulanvanoppen/GMGTS,
GmT,30597007,10.1093/gigascience/giy166,https://github.com/erasmusmc-bioinformatics/galaxy-mothur-toolset,GmT
Graphite,39445080,10.1093/nargab/lqae142,https://github.com/MGXlab/Graphite,
GROMACS,16211538,10.1002/jcc.20291,https://gitlab.com/gromacs/gromacs,gromacs
GSI-RADS,34572900,10.3390/cancers13184674,https://github.com/SINTEFMedtek/GSI-RADS,
HAMLET,32127641,10.1038/s41375-020-0762-8,https://github.com/LUMC/HAMLET,
HDILib,28113434,10.1109/tvcg.2016.2570755,https://github.com/biovault/HDILib,
homologueDiscoverer,36165687,10.1093/bioinformatics/btac647,https://github.com/kevinmildau/homologueDiscoverer,
HPCCS,31729669,10.1007/978-1-0716-0030-6_19,https://github.com/cepid-cces/hpccs,HPCCS
HUMID,,,https://github.com/jfjlaros/HUMID,
HyperBeta,33833280,10.1038/s41598-021-87087-0,https://github.com/aresio/hyperbeta,hyperbeta
HyPyP,33031496,10.1093/scan/nsaa141,https://github.com/GHFC/HyPyP,
iCascabel,33329686,10.3389/fgene.2020.489357,https://github.com/AlejandroAb/CASCABEL,
iCRF Generator,PPR118604,,https://github.com/aderidder/iCRFGenerator,icrf_generator
iKaptive,37130055,10.1099/mgen.0.001007,https://github.com/katholt/Kaptive/,ikaptive
Immunometabolic Atlas,35550647,10.1371/journal.pone.0268408,https://github.com/vanhasseltlab/IMatlas,
InContext,33579375,10.1186/s13326-021-00234-4,https://github.com/MaastrichtU-IDS/incontext-indications-analysis,
INFLECT,36384426,,https://github.com/jnverhoeff/GarciaVallejoLab,inflect_cluster
IPCA,39467687,10.1021/jasms.4c00314,https://github.com/KKrijnen/IPCA,
iPCMol,39475544,10.1021/acs.jcim.4c00309,https://github.com/CDDLeiden/PCMol,
iScore,31199455,10.1093/bioinformatics/btz496,https://github.com/DeepRank/iScore,iScore
jit-open,,,https://github.com/jfjlaros/jit-open,
Jovian,39472593,10.1038/s41598-024-73785-y,https://github.com/DennisSchmitz/jovian,
Kinbank,37224178,10.1371/journal.pone.0283218,https://github.com/kinbank/kinbank,kinbank
LAMPA,32003788,10.1093/bioinformatics/btaa065,https://github.com/Gorbalenya-Lab/LAMPA,lampa
LayNii,33991698,10.1016/j.neuroimage.2021.118091,https://github.com/ofgulban/LayNii_extras,laynii
LightDock,31418773,10.1093/bioinformatics/btz642,https://github.com/brianjimenez/lightdock,lightdock
LLM Extractinator,,,https://github.com/DIAGNijmegen/llm_extractinator,
LMFA,36050575,10.3758/s13428-022-01898-1,https://github.com/LeonieVm/lmfa,
LoFTK,36732776,10.1186/s13040-023-00321-5,https://github.com/CirculatoryHealth/LoFTK,loftk
LOVD,34521998,10.1038/s41431-021-00959-x,https://github.com/LOVDnl/LOVD3,lovd
M2R,33523116,10.1093/bioinformatics/btab060,https://github.com/e-weglarz-tomczak/m2r,m2r
Manivault Studio,37871056,10.1109/tvcg.2023.3326582,https://github.com/ManiVaultStudio/core,
